Unnamed: 0,VIN,Price,Year,Make,Model.Group,Model.Detail,Body.Style,Color,Damage.Description,Odometer,Est..Retail.Value,Repair.cost,Engine,Drive,Cylinders,Sale.Status,ImportPrice
184,1HGCR2F97GA246988,6500,2016,HONDA,ACCORD EXL,ACCORD EXL,SEDAN 4D,SILVER,Side,57389,17587,13850,2.4,F,4,Pure,3767
185,5FNRL5H66GB110924,6100,2016,HONDA,ODYSSEY EX,ODYSSEY EX,SPORTS V,BLUE,Front,47369,23921,15943,3.5,F,6,Pure,4885
186,5FNRL5H41GB053286,4600,2016,HONDA,ODYSSEY EX,ODYSSEY EX,SPORTS V,SILVER,Front,40518,20936,19486,3.5,F,6,Pure,5905
187,2HGFC2F74GH545014,3800,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLACK,Rear,20276,17050,15159,2.0,F,4,Minimum,5532
188,3CZRM3H33GG708724,4550,2016,HONDA,CR-V LX,CR-V LX,4DR SPOR,SILVER,Side,11762,19176,0,2.4,F,4,Minimum,3482
189,1HGCR2F5XGA803177,7200,2016,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,WHITE,Front,80934,21686,18799,2.4,F,4,Pure,3871
190,2HGFC2F72GH034093,4250,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,WHITE,Rear,70572,16161,16270,2.0,F,4,Pure,5249
191,5FNYF6H89GB027790,8900,2016,HONDA,PILOT EXL,PILOT EXL,4DR SPOR,WHITE,Front,65651,30125,0,3.5,All,6,Minimum,3716
192,1HGCR2F42GA228547,5600,2016,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,SILVER,Side,54495,16754,0,2.4,F,4,Approval,6602
193,1HGCR2F32GA238034,5000,2016,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,BLACK,Front,87306,16521,0,2.4,F,4,Approval,4417
194,5J6RM4H45GL097256,6300,2016,HONDA,CR-V SE,CR-V SE,4DR SPOR,WHITE,Front,32271,20517,0,2.4,All,4,Approval,4105
195,19XFC2F53HE202267,3950,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLACK,Front,51829,16977,14126,2.0,F,4,Pure,4781
196,2HGFC4B53HH300528,5100,2017,HONDA,CIVIC LX,CIVIC LX,COUPE,WHITE,Rear,36757,16073,0,2.0,F,4,Minimum,3560
197,1HGCT1B75HA010258,3200,2017,HONDA,ACCORD EX,ACCORD EX,COUPE,CHARCOAL,Front,21729,18713,15769,2.4,F,4,Pure,4158
198,1HGCR3F87HA036938,6400,2017,HONDA,ACCORD EXL,ACCORD EXL,SEDAN 4D,BLACK,Side,16117,23628,18067,3.5,F,6,Minimum,3170
199,19XFC2F87HE209488,2750,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLACK,Front,8050,19907,29611,2.0,F,4,Minimum,5980
200,2HGFC2F52HH574169,3100,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLACK,Front,47457,15032,13202,2.0,F,4,Minimum,2936
201,2HGFC3B32HH357540,3650,2017,HONDA,CIVIC,CIVIC EX,COUPE,GRAY,Front,44481,19449,0,1.5,F,4,Minimum,3118
202,19XFC2F59HE029242,4950,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLACK,Front,23509,17592,0,2.0,F,4,Minimum,3404
203,1HGCR2F7XHA044694,6900,2017,HONDA,ACCORD EX,ACCORD EX,SEDAN 4D,WHITE,Front,27424,16779,12548,2.4,F,4,Pure,4079
204,5FNYF5H37HB027092,11500,2017,HONDA,PILOT EX,PILOT EX,4DR SPOR,BLUE,Front,22415,31455,0,3.5,F,6,Minimum,5093
205,19XFC2F5XHE023868,5400,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,GRAY,Under,15503,22096,0,2.0,F,4,Approval,7484
206,19XFC2F76HE051510,7900,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,GRAY,Rear,25314,18372,14136,2.0,F,4,Minimum,4313
207,19XFC2F51HE075891,5200,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,GRAY,Side,31994,14604,13334,2.0,F,4,Minimum,5613
208,19XFC1F3XHE011390,6100,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,GRAY,Side,16553,19137,15363,1.5,F,4,Minimum,4209
209,2HGFC4B08HH305003,5400,2017,HONDA,CIVIC LX,CIVIC LX,COUPE,GRAY,Side,24856,15527,9225,2.0,F,4,Minimum,4677
210,1HGCR2F52HA241826,6700,2017,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,BLACK,Front,47899,19575,0,2.4,F,4,Minimum,4313
211,19XFC1F73HE014943,5100,2017,HONDA,CIVIC EXL,CIVIC EXL,SEDAN 4D,BLACK,Front,9184,22825,0,1.5,F,4,Minimum,4989
212,2HGFC2F78HH533966,4550,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,RED,Front,50647,14970,11809,2.0,F,4,Pure,4158
213,1HGCR2F79HA212664,6900,2017,HONDA,ACCORD EX,ACCORD EX,SEDAN 4D,GOLD,Rear,28549,18463,13714,2.4,F,4,Pure,3871
214,1HGCR2F58HA231950,8500,2017,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,RED,Side,44266,17352,14097,2.4,F,4,Pure,5093
215,3CZRU6H51HM716973,6600,2017,HONDA,HR-V EX,HR-V EX,4DR SPOR,BLACK,Front,25278,19922,13930,1.8,All,4,Pure,5925
216,19XFC2F73HE006346,7500,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,WHITE,Rear,35512,16066,11904,2.0,F,4,Pure,4937
217,5FNYF5H15HB034783,6400,2017,HONDA,PILOT LX,PILOT LX,4DR SPOR,WHITE,Side,49289,22695,20489,3.5,F,6,Pure,5405
218,1HGCR3F94HA038428,5600,2017,HONDA,ACCORD,ACCORD TOU,SEDAN 4D,SILVER,Rear,28937,23439,23439,3.5,F,6,Minimum,5980
219,2HGFC2F50HH563316,3250,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLACK,Rear,33069,14169,15819,2.0,F,4,Minimum,5781
220,3CZRU6H50HM702384,6100,2017,HONDA,HR-V EX,HR-V EX,4DR SPOR,WHITE,Rear,27948,19443,13755,1.8,All,4,Pure,3196
221,19XFC2F77HE052570,6800,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,GRAY,Front,4079,18279,0,2.0,F,4,Approval,4677
