"","VIN","Price","Year","Make","Model.Group","Model.Detail","Body.Style","Color","Damage.Description","Odometer","Est..Retail.Value","Repair.cost","Engine","Drive","Cylinders","Sale.Status"
"554","19XFC2F73HE006346",7500,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","WHITE","Rear",35512,16066,11904,2,"F",4,"Pure"
"555","4T1BK1EB8HU263677",7000,2017,"TOYOTA","AVALON","AVALON XLE","SEDAN 4D","BLUE","ALL OVER",11448,22350,14351,3.5,"F",6,"Minimum"
"556","2T1BURHE5HC749816",5600,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Front",31061,14779,14779,1.8,"F",4,"Minimum"
"557","5FNYF5H15HB034783",6400,2017,"HONDA","PILOT LX","PILOT LX","4DR SPOR","WHITE","Side",49289,22695,20489,3.5,"F",6,"Pure"
"558","1HGCR3F94HA038428",5600,2017,"HONDA","ACCORD","ACCORD TOU","SEDAN 4D","SILVER","Rear",28937,23439,23439,3.5,"F",6,"Minimum"
"559","WVGSV7AX4HK019712",6900,2017,"VOLKSWAGEN","TIGUAN WOL","TIGUAN WOL","4DR SPOR","WHITE","Front",46219,16507,11856,2,"All",4,"Minimum"
"560","1N4AA6AP5HC376130",3650,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","WHITE","Front",74703,19155,14308,3.5,"F",6,"Minimum"
"561","JTJBARBZ9H2148196",8200,2017,"LEXUS","NX 200T","NX 200T","4DR SPOR","WHITE","Front",18592,31833,32005,2,"All",4,"Pure"
"562","19UUB3F55HA003127",9700,2017,"ACURA","TLX","TLX TECH","SEDAN 4D","BLUE","Minor",35016,25697,28992,3.5,"All",6,"Pure"
"563","4T1BF1FK7HU319997",6300,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",43326,15510,14014,2.5,"F",4,"Pure"
"564","1N4AA6AP5HC456317",4850,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","RED","Front",16386,19770,17269,3.5,"F",6,"Minimum"
"565","5J8TB4H36HL030936",11800,2017,"ACURA","RDX","RDX","4DR SPOR","WHITE","STRIPPED",26950,29087,0,3.5,"All",6,"Minimum"
"566","JTMBFREV3HJ171511",8000,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","WHITE","Front",23214,22520,0,2.5,"All",4,"Minimum"
"567","2HGFC2F50HH563316",3250,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","BLACK","Rear",33069,14169,15819,2,"F",4,"Minimum"
"568","3CZRU6H50HM702384",6100,2017,"HONDA","HR-V EX","HR-V EX","4DR SPOR","WHITE","Rear",27948,19443,13755,1.8,"All",4,"Pure"
"569","JTMBFREV6HJ151785",6500,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","WHITE","Front",15339,21469,25609,2.5,"All",4,"Minimum"
"570","19XFC2F77HE052570",6800,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","GRAY","Front",4079,18279,0,2,"F",4,"Approval"
"571","2HGFC2F75HH502416",4300,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","RED","Front",29636,16942,12067,2,"F",4,"Pure"
"572","4JGED6EB3HA082878",0,2017,"MERCEDES-BENZ","GLE COUPE","GLE COUPE","4DR SPOR","WHITE","Front",25773,66995,0,3,"All",6,"Minimum"
"573","WP1AA2A21HKA86656",22800,2017,"PORSCHE","CAYENNE","CAYENNE","4DR SPOR","WHITE","Rear",30310,29973,0,3.6,"All",6,"Minimum"
"574","WAUENAF46HN062408",10700,2017,"AUDI","A4","A4 PREMIUM","SEDAN 4D","BLUE","Rear",11488,32196,27038,2,"All",4,"Pure"
"575","1N4AA6AP7HC391731",2000,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLUE","Side",14282,18159,21464,3.5,"F",6,"Pure"
"576","WBXHT3C31H5F72507",8500,2017,"BMW","X1 XDRIVE2","X1 XDRIVE2","4DR SPOR","GRAY","Front",12836,28005,24750,2,"All",4,"Minimum"
"577","58ABK1GGXHU038937",10100,2017,"LEXUS","ES350","ES 350","SEDAN 4D","BLACK","Front",14874,34183,0,3.5,"F",6,"Minimum"
"578","1HGCR2F36HA038999",3850,2017,"HONDA","ACCORD LX","ACCORD LX","SEDAN 4D","GRAY","Front",92816,14369,0,2.4,"F",4,"Pure"
"579","19XFC2F53HE210174",3000,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","BLUE","Rear",35561,13043,10099,2,"F",4,"Minimum"
"580","JTMRFREV9HJ131416",8100,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","BLUE","Side",21637,20978,18532,2.5,"All",4,"Minimum"
"581","19XFC2F78HE226159",3900,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","BLACK","Front",56219,13900,15484,2,"F",4,"Pure"
"582","1HGCR2F33HA170764",2050,2017,"HONDA","ACCORD LX","ACCORD LX","SEDAN 4D","BLACK","Front",56895,14826,13920,2.4,"F",4,"Pure"
"583","5YFBURHE6HP672213",3700,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","GRAY","Front",28160,14448,14131,1.8,"F",4,"Approval"
"584","1HGCR2F34HA267780",4550,2017,"HONDA","ACCORD LX","ACCORD LX","SEDAN 4D","CHARCOAL","Rear",31580,15864,11537,2.4,"F",4,"Minimum"
"585","1N4AA6AP8HC442234",7100,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","RED","Front",39060,19831,0,3.5,"F",6,"Approval"
"586","4T1BF1FK9HU815514",5800,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",100997,10906,15140,2.5,"F",4,"Pure"
"587","5YMKW8C58H0U71698",32500,2017,"BMW","X6","X6 M","4DR SPOR","BLUE","Front",14128,65119,52098,4.4,"All",8,"Minimum"
"588","2T1BURHE3HC762953",5300,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Rear",33139,14249,14249,1.8,"F",4,"Minimum"
"589","4JGDA5HB2HA945969",11700,2017,"MERCEDES-BENZ","GLE 350 4M","GLE 350 4M","4DR SPOR","WHITE","ROLLOVER",25112,41549,31162,3.5,"All",6,"Pure"
"590","JTMWFREV4HJ700899",8900,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","WHITE","Rear",22497,19332,16132,2.5,"F",4,"Pure"
"591","5YFBURHE1HP698248",4950,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",29780,16118,0,1.8,"F",4,"Pure"
"592","2T3ZFREV7HW317750",6200,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","BLACK","Rear",47012,18763,13749,2.5,"F",4,"Minimum"
"593","WDCTG4EB4HJ315619",8250,2017,"MERCEDES-BENZ","GLA 250","GLA 250","4DR SPOR","WHITE","Front",35037,25409,0,2,"F",4,"Pure"
"594","WBS3U9C5XHP970611",30500,2017,"BMW","M4","M4","CONVERTI","WHITE","Rear",24402,59071,0,3,"R",6,"Minimum"
"595","2T1BURHE8HC763502",4400,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",42289,12946,12005,1.8,"F",4,"Pure"
"596","2HGFC2F5XHH555983",2350,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","CHARCOAL","Rear",7724,19333,0,2,"F",4,"Pure"
"597","1HGCR2F76HA294479",5500,2017,"HONDA","ACCORD EX","ACCORD EX","SEDAN 4D","BLACK","Front",11467,19748,15786,2.4,"F",4,"Pure"
"598","5UXKR2C51H0U20944",17900,2017,"BMW","X5 SDRIVE3","X5 SDRIVE3","4DR SPOR","WHITE","Side",49744,38250,20243,3,"R",6,"Pure"
"599","2T3ZFREV6HW389992",6800,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","SILVER","Front",23474,18976,15241,2.5,"F",4,"Minimum"
"600","19XFC2F55HE021297",2750,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","BLUE","Front",20544,15871,10685,2,"F",4,"Pure"
"601","4T1BF1FK3HU811250",6400,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",49692,14107,16995,2.5,"F",4,"Minimum"
"602","5TDKZ3DC3HS815161",4550,2017,"TOYOTA","SIENNA LE","SIENNA LE","SPORTS V","RED","ALL OVER",21753,22006,0,3.5,"F",6,"Pure"
"603","1HGCR2F50HA232834",5800,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","SILVER","Front",58013,15954,15129,2.4,"F",4,"Pure"
"604","4T1BF1FK3HU344556",6100,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","ALL OVER",54138,16906,0,2.5,"F",4,"Approval"
"605","1N4AA6AP2HC364713",1950,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLACK","ROLLOVER",62727,17783,18395,3.5,"F",6,"Pure"
"606","4T1BF1FK5HU332554",4350,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",53364,15126,25773,2.5,"F",4,"Pure"
"607","4T1BF1FK9HU351897",5400,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",125399,9774,6528,2.5,"F",4,"Minimum"
"608","4T1BF1FK0HU617484",3000,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",73673,11518,23472,2.5,"F",4,"Pure"
"609","4T1BF1FK4HU766299",3200,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",38231,16062,17467,2.5,"F",4,"Minimum"
"610","2HGFC2F75HH567721",3900,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","RED","Side",17884,16832,12798,2,"F",4,"Minimum"
"611","5TDYZ3DC3HS892431",14700,2017,"TOYOTA","SIENNA XLE","SIENNA XLE","SPORTS V","BLACK","Rear",24910,26408,17139,3.5,"F",6,"Minimum"
"612","4T1BF1FK2HU653483",6500,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",22415,16267,11012,2.5,"F",4,"Minimum"
"613","4T1BF1FK9HU656543",7700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Rear",47126,18352,7000,2.5,"F",4,"Minimum"
"614","JTMBFREV4HJ123905",7300,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","WHITE","Rear",31528,20417,13472,2.5,"All",4,"Minimum"
"615","4T1BF1FKXHU421939",7700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",50477,17099,17099,2.5,"F",4,"Minimum"
