VIN,Price,Year,Make,Model Group,Model Detail,Body Style,Color,Damage Description,Odometer,Est. Retail Value,Repair cost,Engine,Drive,Cylinders,Sale Status
JTEBU5JR5G5405285,14100,2016,TOYOTA,4RUNNER SR,4RUNNER SR,4DR SPOR,BLACK,Front,27726,35436,22063,4.0,4x4,6,Pure
55SWF4JB7GU170530,16400,2016,MERCEDES-BENZ,C CLASS,C 300,SEDAN 4D,WHITE,Rear,18946,32411,21053,2.0,R,4,Minimum
3CZRU6H52GM746918,3350,2016,HONDA,HR-V EX,HR-V EX,4DR SPOR,GRAY,Front,25155,19029,16168,1.8,All,4,Minimum
19XFC2F59GE003979,3650,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,GRAY,Rear,37822,15291,13356,2.0,F,4,Minimum
5J6RM4H42GL081693,5500,2016,HONDA,CR-V SE,CR-V SE,4DR SPOR,WHITE,Front,31172,20222,13428,2.4,All,4,Minimum
19XFC1F30GE038886,7600,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLUE,Front,39950,15532,0,1.5,F,4,Minimum
2HGFC2F58GH544320,4000,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,RED,Front,38065,12971,9717,2.0,F,4,Minimum
3MZBM1U74GM249528,2150,2016,MAZDA,3,3 SPORT,SEDAN 4D,GRAY,Front,65528,10677,8161,2.0,F,4,Minimum
JN8AT2MV3GW144327,3550,2016,NISSAN,ROGUE S,ROGUE S,4DR SPOR,GRAY,Rear,28990,18735,17898,2.5,All,4,Approval
19XFC1F39GE035324,4700,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLACK,Rear,25967,30955,0,1.5,F,4,Pure
1N4AL3AP7GN390221,4100,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,GRAY,Front,21406,14598,0,2.5,F,4,Minimum
JM3KE4CY7G0919501,3550,2016,MAZDA,CX-5 TOURI,CX-5 TOURI,4DR SPOR,BLUE,ALL OVER,20618,20726,15940,2.5,All,4,Pure
1HGCR2F58GA158190,2600,2016,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,RED,Front,70417,14557,16552,2.4,F,4,Pure
3MYDLBZV5GY117030,2400,2016,TOYOTA,SCION,SCION IA,SEDAN 4D,BLUE,Rear,25601,12536,14237,1.5,F,4,Minimum
1N4AL3AP2GC259791,1750,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,WHITE,Rear,26909,14380,12106,2.5,F,4,Minimum
2HGFC2F7XGH502801,4750,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,GRAY,Front,30357,16976,25366,2.0,F,4,Minimum
4T1BF1FKXGU555719,6800,2016,TOYOTA,CAMRY,Camry LE,SEDAN 4D,SILVER,Rear,31784,16175,13068,2.5,F,4,Pure
5YFBURHE6GP558856,4450,2016,TOYOTA,COROLLA,COROLLA L,SEDAN 4D,BLACK,Front,30372,15386,11183,1.8,F,4,Pure
19XFC2F50GE087898,2300,2016,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,SILVER,ALL OVER,26845,15038,10300,2.0,F,4,Minimum
4JGDA5JB9GA668455,13200,2016,MERCEDES-BENZ,GLE 350,GLE 350,4DR SPOR,BLACK,Front,27255,36771,33710,3.5,R,6,Pure
JTMNFREV3GJ086843,6800,2016,TOYOTA,RAV4 SE,RAV4 SE,4DR SPOR,WHITE,Side,25427,23278,21170,2.5,F,4,Pure
19XFC1F77GE202105,4950,2016,HONDA,CIVIC EXL,CIVIC EXL,SEDAN 4D,BLUE,Rear,64659,14428,12356,1.5,F,4,Minimum
1HGCR2F59GA032436,4300,2016,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,WHITE,Front,43255,17888,15337,2.4,F,4,Minimum
2HGFC1F31GH645384,4600,2016,HONDA,CIVIC,CIVIC EX,SEDAN 4D,WHITE,Rear,19655,17473,0,1.5,F,4,Minimum
JTHBA1BL1GA001938,18000,2016,LEXUS,GS200,GS 200T,SEDAN 4D,WHITE,Side,49208,22787,18978,2.0,R,4,Minimum
JM1GJ1W5XG1486468,8500,2016,MAZDA,6,6 GRAND TO,SEDAN 4D,WHITE,Front,22167,19626,14428,2.5,F,4,Minimum
WBS3U9C51GP969460,22200,2016,BMW,M4,M4,CONVERTI,BLACK,Rear,13551,55000,0,3.0,R,6,Approval
WBA6D0C50GG639337,16400,2016,BMW,6 SERIES,640 I,SEDAN 4D,BLACK,Rear,80957,40491,25173,3.0,R,6,Pure
WAUA7GFF4G1043035,5500,2016,AUDI,A3,A3 PREMIUM,SEDAN 4D,WHITE,Front,51547,19414,15422,1.8,F,4,Minimum
1N4AL3AP3GN366305,2850,2016,NISSAN,ALTIMA,ALTIMA 2.5,SEDAN 4D,BLACK,Front,41557,12026,11247,2.5,F,4,Minimum
2T3WFREV3GW260688,8700,2016,TOYOTA,RAV4 XLE,RAV4 XLE,4DR SPOR,BLACK,Front,13974,19958,15016,2.5,F,4,Pure
3N1AB7AP8GY213770,1750,2016,NISSAN,SENTRA,SENTRA S,SEDAN 4D,BLUE,Rear,79771,6171,0,1.8,F,4,Pure
3CZRU5G5XGM749335,4350,2016,HONDA,HR-V EX,HR-V EX,4DR SPOR,GREEN,Rear,19637,17492,12623,1.8,F,4,Minimum
5YFBURHE0GP545116,3250,2016,TOYOTA,COROLLA,COROLLA L,SEDAN 4D,SILVER,Front,64822,10213,10101,1.8,F,4,Minimum
4T1BF1FKXGU538161,4800,2016,TOYOTA,CAMRY,Camry LE,SEDAN 4D,BLUE,Side,87316,12600,15125,2.5,F,4,Minimum
