"","VIN","Price","Year","Make","Model.Group","Model.Detail","Body.Style","Color","Damage.Description","Odometer","Est..Retail.Value","Repair.cost","Engine","Drive","Cylinders","Sale.Status","ImportPrice","ShippingCost"
"221","1N4AL3AP5GN358223",3400,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","GRAY","Side",13508,13600,10069,2.5,"F",4,"Minimum",3069,3000
"222","3N1AB7APXGY280385",2900,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","WHITE","Side",16778,12828,11614,1.8,"F",4,"Minimum",2820,3000
"223","3N1AB7AP0GL671106",1600,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","GRAY","Front",30301,12721,14475,1.8,"F",4,"Pure",2174,3000
"224","1N4AL3AP9GC211396",2800,2016,"NISSAN","ALTIMA","ALTIMA 2.5","SEDAN 4D","BLACK","Rear",39156,15885,14626,2.5,"F",4,"Minimum",2771,3000
"225","3N1CN7AP7GL879614",1250,2016,"NISSAN","VERSA","VERSA S","SEDAN 4D","WHITE","Front",36505,8980,0,1.6,"F",4,"Minimum",2001,3000
"226","3N1AB7AP3GL658964",1850,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","WHITE","Front",34768,14612,2501,1.8,"F",4,"Approval",2299,3000
"227","3N1AB7AP1GY223475",3050,2016,"NISSAN","SENTRA","SENTRA S","SEDAN 4D","GRAY","Minor",99973,8850,0,1.8,"F",4,"Minimum",2895,3000
"228","1N4AA6AP6HC390070",5900,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLACK","Front",99382,19473,0,3.5,"F",6,"Approval",4311,3000
"229","1N4AA6AP0HC379789",4450,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLACK","Rear",40326,21275,0,3.5,"F",6,"Minimum",3590,3000
"230","1N4AA6AP5HC376130",3650,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","WHITE","Front",74703,19155,14308,3.5,"F",6,"Minimum",3375,3000
"231","1N4AA6AP5HC456317",4850,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","RED","Front",16386,19770,17269,3.5,"F",6,"Minimum",3789,3000
"232","1N4AA6AP7HC391731",2000,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLUE","Side",14282,18159,21464,3.5,"F",6,"Pure",2983,3000
"233","1N4AA6AP8HC442234",7100,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","RED","Front",39060,19831,0,3.5,"F",6,"Approval",4907,3000
"234","1N4AA6AP2HC364713",1950,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLACK","ROLLOVER",62727,17783,18395,3.5,"F",6,"Pure",2971,3000
"235","1N4AA6AP0HC378514",7100,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BURGUNDY","Front",47321,23676,16491,3.5,"F",6,"Minimum",4907,3000
"236","1N4AA6AP1HC378148",4850,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLACK","Front",54875,34899,0,3.5,"F",6,"Approval",3789,3000
"237","WP1AA2A29GKA09869",16500,2016,"PORSCHE","CAYENNE","CAYENNE","4DR SPOR","BLACK","Side",33931,45018,45018,3.6,"All",6,"Pure",9577,3000
"238","WP1AA2A20GLA11522",22300,2016,"PORSCHE","CAYENNE","CAYENNE","4DR SPOR","BLACK","Front",11695,48574,16252,3.6,"All",6,"Minimum",12458,3000
"239","WP0AF2A71HL153104",58000,2017,"PORSCHE","PANAMERA","PANAMERA T","SEDAN 4D","CHARCOAL","Wear",29684,156807,0,4.8,"All",8,"Minimum",30194,3000
"240","WP1AA2A21HKA86656",22800,2017,"PORSCHE","CAYENNE","CAYENNE","4DR SPOR","WHITE","Rear",30310,29973,0,3.6,"All",6,"Minimum",12707,3000
"241","5YFBURHE9GP562478",5800,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Side",21544,18148,0,1.8,"F",4,"Pure",4261,3000
"242","4T1BF1FK8GU540572",5100,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",32213,17550,15662,2.5,"F",4,"Minimum",3913,3000
"243","4T1BF1FK2GU551938",5400,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",61219,16508,0,2.5,"F",4,"Minimum",4062,3000
"244","4T1BF1FKXGU503958",6300,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Side",95099,13531,0,2.5,"F",4,"Pure",4509,3000
"245","5YFBURHE0GP393399",4150,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Rear",59166,14631,9015,1.8,"F",4,"Pure",3441,3000
"246","5YFBURHE8GP538298",3600,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Rear",32397,14891,0,1.8,"F",4,"Pure",3168,3000
"247","4T1BF1FK6GU141482",4800,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",43231,17432,17074,2.5,"F",4,"Minimum",3764,3000
"248","4T1BF1FK0GU154888",3650,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",75371,11138,16017,2.5,"F",4,"Minimum",3193,3000
"249","4T1BF1FK5GU596565",5500,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","CHARCOAL","Front",66776,11312,11883,2.5,"F",4,"Pure",4112,3000
"250","5YFBURHE5GP494096",3200,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Rear",61168,11749,10960,1.8,"F",4,"Pure",2969,3000
"251","4T4BF1FK8GR565381",4650,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",53406,13462,23902,2.5,"F",4,"Minimum",3690,3000
"252","5YFBURHE9GP460257",2700,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","GRAY","Front",45669,11548,16810,1.8,"F",4,"Minimum",2721,3000
"253","4T4BF1FK7GR577098",5500,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Side",49252,15400,0,2.5,"F",4,"Minimum",4112,3000
"254","4T1BF1FK0GU608878",5400,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","GRAY","Front",40088,15977,0,2.5,"F",4,"Minimum",4062,3000
"255","5YFBURHE0GP440575",2850,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","CHARCOAL","Front",22193,13202,13635,1.8,"F",4,"Pure",2795,3000
"256","4T1BF1FK6GU541834",4650,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","RED","Front",79203,13191,23628,2.5,"F",4,"Pure",3690,3000
"257","4T1BF1FK2GU555472",4800,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","MAROON","Rear",162716,9780,7427,2.5,"F",4,"Minimum",3764,3000
"258","2T1BURHE4GC523538",3250,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",67593,11570,11570,1.8,"F",4,"Pure",2994,3000
"259","4T1BF1FK3GU525560",5700,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Rear",59080,13908,11324,2.5,"F",4,"Minimum",4211,3000
"260","5TDJKRFHXGS289878",14400,2016,"TOYOTA","HIGHLANDER","HIGHLANDER","4DR SPOR","GRAY","Front",22742,30440,16589,3.5,"All",6,"Pure",8533,3000
"261","4T1BF1FK5GU196084",5200,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","ALL OVER",63817,13287,10308,2.5,"F",4,"Pure",3963,3000
"262","5TDJKRFH8GS505310",15400,2016,"TOYOTA","HIGHLANDER","HIGHLANDER","4DR SPOR","WHITE","Front",27853,38495,0,3.5,"All",6,"Approval",9030,3000
"263","2T1BURHE6GC622040",3500,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Front",52117,11883,9325,1.8,"F",4,"Pure",3118,3000
"264","5TDJKRFH6GS316588",15100,2016,"TOYOTA","HIGHLANDER","HIGHLANDER","4DR SPOR","WHITE","Side",31797,25678,13487,3.5,"All",6,"Approval",8881,3000
"265","2T1BURHE1GC673025",0,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",18754,13387,0,1.8,"F",4,"Minimum",1610,3000
"266","4T1BF1FK8GU598469",6000,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",54624,13820,9138,2.5,"F",4,"Minimum",4360,3000
"267","2T1BURHE9GC599742",4650,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Rear",39162,14665,10452,1.8,"F",4,"Minimum",3690,3000
"268","4T1BF1FKXGU519769",4850,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",54251,15867,19468,2.5,"F",4,"Minimum",3789,3000
"269","4T1BF1FK2GU234466",4000,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",58321,14693,9705,2.5,"F",4,"Minimum",3367,3000
"270","4T1BF1FK7GU548470",4900,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",79571,10645,17202,2.5,"F",4,"Pure",3814,3000
"271","5YFBURHE9GP398469",4200,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Side",61987,13103,9150,1.8,"F",4,"Minimum",3466,3000
"272","2T1BURHE8GC656092",4250,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Side",44728,13943,13943,1.8,"F",4,"Minimum",3491,3000
"273","5TDZKRFH0GS175908",10200,2016,"TOYOTA","HIGHLANDER","HIGHLANDER","4DR SPOR","BROWN","Rear",34984,24848,18044,3.5,"F",6,"Pure",6447,3000
"274","5TDBKRFH8GS354702",10300,2016,"TOYOTA","HIGHLANDER","HIGHLANDER","4DR SPOR","GRAY","Rear",30832,27433,0,3.5,"All",6,"Pure",6497,3000
"275","4T1BF1FK5GU263458",2600,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",29403,15650,13232,2.5,"F",4,"Pure",2671,3000
"276","4T4BF1FK8GR555000",5400,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","GRAY","Rear",39637,15226,10483,2.5,"F",4,"Pure",4062,3000
"277","4T4BF1FK0GR550809",5700,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",36814,14597,11130,2.5,"F",4,"Minimum",4211,3000
"278","4T1BF1FK4GU131081",6600,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","GRAY","Side",44728,16916,10040,2.5,"F",4,"Pure",4658,3000
"279","4T1BF1FK5GU159262",6900,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Side",69639,13839,0,2.5,"F",4,"Pure",4807,3000
"280","5TDYKRFH8GS129223",9300,2016,"TOYOTA","HIGHLANDER","HIGHLANDER","4DR SPOR","SILVER","Front",39511,31160,22485,3.5,"F",6,"Pure",6000,3000
"281","5TDYKRFH7GS123462",14600,2016,"TOYOTA","HIGHLANDER","HIGHLANDER","4DR SPOR","GRAY","Front",43963,33010,15179,3.5,"F",6,"Minimum",8633,3000
"282","5YFBURHE5GP555348",4650,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Rear",67710,13240,11757,1.8,"F",4,"Pure",3690,3000
"283","5YFBURHE1GP440617",3900,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",72637,12032,15166,1.8,"F",4,"Minimum",3317,3000
"284","5YFBURHE5GP474754",3200,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Side",27802,12337,9491,1.8,"F",4,"Minimum",2969,3000
"285","4T1BK1FK1GU571688",4750,2016,"TOYOTA","CAMRY","Camry XSE","SEDAN 4D","GRAY","Front",27479,22000,20000,3.5,"F",6,"Minimum",3739,3000
"286","2T1BURHE1GC585401",2500,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Rear",75193,17205,17205,1.8,"F",4,"Pure",2622,3000
"287","2T1BURHE4GC554434",4600,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",51600,15100,13700,1.8,"F",4,"Pure",3665,3000
"288","5YFBURHE8GP434295",2750,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Front",42665,13742,8417,1.8,"F",4,"Minimum",2746,3000
"289","2T1BURHE3GC602103",5600,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",50889,15165,12236,1.8,"F",4,"Minimum",4162,3000
"290","4T1BF1FK9GU117712",6500,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",127189,9477,8363,2.5,"F",4,"Minimum",4609,3000
"291","4T1BF1FK8GU242202",6300,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Side",34773,12569,10680,2.5,"F",4,"Pure",4509,3000
"292","2T1BURHE9GC641424",3500,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Rear",21530,12079,9314,1.8,"F",4,"Pure",3118,3000
"293","4T1BK1EB4GU219724",9400,2016,"TOYOTA","AVALON","AVALON XLE","SEDAN 4D","BLACK","Front",28311,22373,14142,3.5,"F",6,"Minimum",6049,3000
"294","4T4BF1FK8GR576915",2800,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Rear",45499,15352,25998,2.5,"F",4,"Minimum",2771,3000
"295","2T1BURHE1GC630031",3600,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Rear",47370,12130,0,1.8,"F",4,"Minimum",3168,3000
"296","2T1BURHEXGC558844",2850,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Side",28218,14698,10437,1.8,"F",4,"Pure",2795,3000
"297","2T1BURHE5GC716555",4550,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Rear",36364,12887,9280,1.8,"F",4,"Pure",3640,3000
"298","4T1BF1FK2GU135291",3600,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Rear",63612,14523,16883,2.5,"F",4,"Minimum",3168,3000
"299","5YFBURHE4GP442541",3600,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","GRAY","Front",73137,12650,0,1.8,"F",4,"Minimum",3168,3000
"300","4T1BF1FK9GU198565",5500,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",23814,16469,19953,2.5,"F",4,"Pure",4112,3000
"301","2T1BURHE8GC717585",2700,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Front",71161,11448,0,1.8,"F",4,"Approval",2721,3000
